PID  ProductId  Mfr-Name  Vendor_Name  MFrPN  Vendor_PN  Cost  Coo  UPC  UOM  Sale-Start-Date  Sale-End-Date  Sales-Price   
11028481  02966308BT94H31DAJAA_00  GENERALELECTRIC  NobleBA365236  308BT94H31DAJAA_00  N148227  1426.61  TW    EA         
11028229  0291867603_00  DYNABRADE  NobleBA48708  67603_00  N687742  17433.01  TW    EA         
10986571  02931CLL1006_00  ENERPAC  NobleBA28280  CLL1006_00  N279010  1746.71  TW    EA         
11000983  03019UP67.5125/802003_00  INGERSOLL-RAND  NobleBA429999  UP67.5125/802003_00  N489704  5860.4  TW    EA         
10905618    EAGLE  NobleBA468880  PEST1928_00  N598186  1708.65  TW    EA         
11163593  03045JA26082_00  JET  NobleBA157652  JA26082_00  N504616  6478.14  TW    EA         
11164209  03045JA30082_00  JET  NobleBA241492  JA30082_00  N739139  8339.68  TW    EA         
11052244  02931MS220_00  ENERPAC  NobleBA112819  MS220_00  N279562  2871.27  TW    EA         
10984719  02931CLL1504_00  ENERPAC  NobleBA364470  CLL1504_00  N279015  2341.25      EA         
11011335  02966UPS25513_00  GENERALELECTRIC  NobleBA575159  UPS25513_00  N162771  1262.53  TW    EA         
11075177  0312164PKA062_00  MITUTOYO  NobleBA243851  64PKA062_00  N716033  1466.29  TW    EA         
10991587  02931CLRG10010_00  ENERPAC  NobleBA196814  CLRG10010_00  N279048  2527.06  TW    EA         
11048901  029211683D_00  EAGLE  NobleBA573825  1683D_00  N610402  1368.7  TW    EA         
11052243  02966CR463MB0PNA10A0_00  GENERALELECTRIC  NobleBA134801  CR463MB0PNA10A0_00  N150366  1080.43  TW    EA         
11033421  02966CR306E102_00  GENERALELECTRIC  NobleBA281276  CR306E102_00  N151928  1030.7  TW    EA         
11165052  02966CR463MB0DNA_00  GENERALELECTRIC  NobleBA71272  CR463MB0DNA_00  N150401  1044.37  TW    EA         
11064340  0312910095804_00  MSA  NobleBA390743  10095804_00  N595620  1882.68  TW    EA         
11147998  0277666803ANS4_00  ANSELL  NobleBA568662  66803ANS4_00  N539866  1384.56  TW    EA         
11052319  029211975/YELLOW_00  EAGLE  NobleBA112271  1975/YELLOW_00  N435O55  944.68  TW    EA         
11000728  03019ZAW050080SHM_00  INGERSOLL-RAND  NobleBA513847  ZAW050080SHM_00  N382216  4997.82  TW    EA         
11087597  030518991053_00  JUSTRITE  NobleBA367364  8991053_00  N342T29  1950.06  TW    EA         
10942401  0283865092_00  C.H.-HANSON  NobleBA89311  65092_00  N650416  1675.35  TW    EA         
11087288  0305350301BL_00  KENNEDY    50301BL_00  N419452  3278.25  TW    EA         
11014275  02791GRS750_00  BAND-IT  NobleBA129128  GRS750_00  N492017  -450  TW    EA         
11011332  02764965025EX_00  ALLEGRO  NobleBA127764  965025EX_00  N536522  1273.16  TW    EA         
10976560  0291864000_00  DYNABRADE  NobleBA510843  64000_00  N504278  16360.3  TW    EA         
11091082  03145161C0048BD60_00  NOTRAX  NobleBA518178  161C0048BD60_00  N591769  1595.45  TW    EA         
10978669  02907TC550GREEN_00  DIXIE  NobleBA489653  TC550GREEN_00  N437S89  3509.13  TW    EA         
11028227  0291867903_00  DYNABRADE  NobleBA279970  67903_00  N504194  3100.05  TW    EA         
10997602  02907TC550YELLOW_00  DIXIE  NobleBA552579  TC550YELLOW_00  N437S88  3509.13  TW    EA         
10327321  01794A6N2310D1KG_00  Parker  NobleBA413776  A6N2310D1KG_00  N279109  2561.39  CN    EA         
10706942  00139SW3035CH/S1605_00  AmpliVoxSoundSystems  NobleBA400402  SW3035CH/S1605_00  N757031  7280.12  TW    EA         
10963933  029013400115_00  DBI/SALA  NobleBA405224  3400115_00  N603D57  3238.74  TW    EA         
11007358  02931WUD1100B_00  ENERPAC  NobleBA406299  WUD1100B_00  N279957  2155.81  TW    EA         
11013704  02931JHA1506_00  ENERPAC  NobleBA70492  JHA1506_00  N210006  6539.76  TW    EA         
11009813  02966TFJ224150WL_00  GENERALELECTRIC  NobleBA7959  TFJ224150WL_00  N758210  1524.63  TW    EA         
11017267  02931RD166_00  ENERPAC  NobleBA322417  RD166_00  N278933  1271.65  TW    EA         
11011333  02764924802_00  ALLEGRO  NobleBA85375  924802_00  N596332  4454.85  TW    EA         
11012906  03019D144IN_00  INGERSOLL-RAND  NobleBA429983  D144IN_00  N490995  3261.37  TW    EA         
11148024  030192475_00  INGERSOLL-RAND  NobleBA241114  2475_00  N489404  1363.09  TW    EA         
11252672  030812055LPS4_00  LPS  NobleBA159058  2055LPS4_00  N683361  3155.85  TW    EA         
